V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
8,4,5,3,2,2,3,12,32,48,53,72,91,105,98,110,82,92,58,46,30,17,7,15
11,4,5,6,5,0,6,35,122,138,176,207,260,231,251,238,272,227,157,120,58,46,26,13
10,14,3,6,3,5,0,48,174,174,206,296,302,290,322,422,367,289,237,155,91,57,23,13
7,8,2,1,2,1,7,48,251,227,210,308,398,357,367,637,463,432,308,175,106,52,38,24
17,3,6,1,3,3,2,38,384,227,176,269,347,316,319,747,573,488,385,237,138,51,27,19
12,7,3,1,3,1,6,37,523,201,163,244,319,288,280,854,683,567,444,305,161,72,39,21
11,4,4,2,2,7,11,34,515,185,213,255,288,317,322,852,712,627,556,329,176,71,33,24
18,6,4,5,7,3,4,51,556,174,185,240,308,348,362,849,776,723,590,396,182,72,42,24
18,5,1,5,3,1,8,53,595,199,198,276,311,356,353,882,834,784,629,380,194,85,40,28
14,7,3,3,3,2,3,58,700,208,199,300,352,334,387,983,878,841,640,439,206,88,40,22
19,6,4,5,4,5,12,87,890,228,206,287,363,390,389,1248,1000,1001,708,397,238,122,53,35
24,5,7,4,5,3,10,248,1424,178,203,289,382,441,493,2080,1316,941,702,482,254,119,51,27
22,12,4,8,4,6,19,337,1568,166,213,284,407,499,493,2073,1346,1006,766,524,311,160,81,42
37,21,7,4,7,4,35,307,1355,177,193,305,414,410,501,1533,1152,962,767,519,354,179,93,45
55,31,29,21,15,6,36,362,1335,206,197,269,406,458,506,1336,1138,872,748,607,394,319,164,91
109,70,37,43,26,24,49,292,1133,249,253,306,378,475,492,1205,1100,994,810,666,540,433,305,171
310,224,110,92,75,61,77,369,1444,547,473,546,802,863,920,1411,1666,1605,1352,1136,977,859,718,462
782,508,339,239,159,172,176,592,1846,955,813,987,1307,1448,1361,1839,2264,2329,1974,1817,1686,1684,1561,1142
1068,798,635,549,319,293,318,887,1968,1109,1006,1181,1589,1768,1770,2041,2563,2837,2499,2121,1893,1937,1955,1566
1109,867,741,590,403,311,462,1033,1769,1171,1052,1286,1623,1731,1816,2003,2496,2935,2473,2054,1930,1744,1660,1464
981,734,674,624,376,312,508,1160,1726,1120,1136,1331,1513,1794,1766,1991,2436,2946,2479,2051,1832,1613,1576,1238
926,716,605,546,376,364,531,1189,1690,1200,1106,1194,1539,1798,1696,1964,2294,2791,2417,1874,1687,1448,1419,1127
787,639,538,513,326,348,553,1289,1867,1183,1080,1318,1498,1571,1646,1801,2287,2773,2342,1821,1535,1285,1179,1029
741,572,494,455,305,375,613,1319,1910,1194,1018,1232,1444,1621,1613,1804,2226,2667,2274,1782,1430,1176,1130,915
699,514,438,359,284,337,568,1387,1793,1199,971,1138,1438,1515,1459,1622,2055,2467,2187,1633,1405,1118,967,810
663,514,350,338,247,405,584,1380,2051,1273,994,1260,1447,1555,1570,1743,2097,2589,2175,1638,1280,1093,961,776
573,422,333,284,212,270,536,1228,1840,1188,967,1115,1292,1450,1421,1527,1934,2334,1928,1512,1203,918,846,733
489,395,284,256,203,266,567,1191,1840,1158,945,1016,1299,1332,1333,1492,1850,2218,1879,1289,1097,869,784,597
467,378,273,221,190,270,526,1199,1853,1233,896,1106,1309,1310,1397,1554,1787,2103,1698,1403,1009,862,740,623
401,323,256,204,161,241,499,1166,1651,1201,894,1047,1251,1205,1279,1372,1706,2079,1760,1269,921,821,706,556
