V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0.125,0.25,0,0.333333333,0,0,0.333333333,0.083333333,0.09375,0.145833333,0.037735849,0.027777778,0.076923077,0.047619048,0.051020408,0,0.036585366,0.076086957,0.068965517,0.065217391,0.033333333,0.058823529,0.142857143,0.2
0.272727273,0,0.2,0.166666667,0.2,NA,0.166666667,0.171428571,0.032786885,0.079710145,0.051136364,0.086956522,0.053846154,0.060606061,0.071713147,0.054621849,0.044117647,0.083700441,0.063694268,0.066666667,0.120689655,0.152173913,0.192307692,0.076923077
0.1,0.142857143,0.333333333,0,0,0.4,NA,0.125,0.091954023,0.126436782,0.082524272,0.091216216,0.105960265,0.106896552,0.111801242,0.106635071,0.117166213,0.114186851,0.139240506,0.129032258,0.142857143,0.157894737,0.043478261,0.153846154
0.142857143,0,0,0,0,0,0,0.104166667,0.06374502,0.101321586,0.104761905,0.084415584,0.110552764,0.098039216,0.108991826,0.136577708,0.149028078,0.145833333,0.126623377,0.154285714,0.141509434,0.153846154,0.105263158,0.166666667
0.117647059,0.666666667,0,0,0,0.333333333,0,0.078947368,0.088541667,0.070484581,0.068181818,0.100371747,0.095100865,0.101265823,0.112852665,0.141900937,0.137870855,0.110655738,0.124675325,0.139240506,0.123188406,0.117647059,0.111111111,0.157894737
0.166666667,0.142857143,0.333333333,0,0.333333333,0,0.166666667,0.081081081,0.076481836,0.029850746,0.061349693,0.12295082,0.047021944,0.0625,0.128571429,0.128805621,0.106881406,0.141093474,0.162162162,0.147540984,0.136645963,0.069444444,0.076923077,0.047619048
0.090909091,0,0.5,0.5,0,0.142857143,0.272727273,0.058823529,0.077669903,0.097297297,0.075117371,0.070588235,0.09375,0.119873817,0.093167702,0.127934272,0.148876404,0.146730463,0.149280576,0.155015198,0.125,0.098591549,0.03030303,0.083333333
0.166666667,0,0,0.2,0.142857143,0.666666667,0.5,0.078431373,0.086330935,0.103448276,0.091891892,0.075,0.087662338,0.109195402,0.091160221,0.133097762,0.12628866,0.118948824,0.154237288,0.138888889,0.10989011,0.055555556,0.142857143,0.125
0.111111111,0,0,0.8,0,0,0.125,0.037735849,0.067226891,0.070351759,0.075757576,0.086956522,0.093247588,0.095505618,0.101983003,0.113378685,0.129496403,0.12372449,0.109697933,0.121052632,0.113402062,0.152941176,0.15,0.071428571
0,0,0,0.333333333,0,0,0,0.051724138,0.084285714,0.043269231,0.055276382,0.09,0.068181818,0.110778443,0.085271318,0.119023398,0.133257403,0.128418549,0.15625,0.127562642,0.077669903,0.079545455,0.1,0.136363636
0.210526316,0.166666667,0.25,0.2,0,0,0.25,0.091954023,0.084269663,0.074561404,0.058252427,0.097560976,0.121212121,0.107692308,0.123393316,0.110576923,0.137,0.138861139,0.155367232,0.166246851,0.117647059,0.098360656,0.113207547,0.114285714
0.208333333,0,0,0,0,0,0.2,0.165322581,0.129213483,0.061797753,0.088669951,0.103806228,0.070680628,0.133786848,0.113590264,0.162019231,0.153495441,0.159404888,0.138176638,0.163900415,0.181102362,0.092436975,0.098039216,0.074074074
0.045454545,0.083333333,0.25,0.375,0,0,0.105263158,0.145400593,0.109056122,0.120481928,0.098591549,0.077464789,0.122850123,0.134268537,0.156186613,0.158224795,0.176077266,0.148111332,0.156657963,0.141221374,0.122186495,0.1625,0.049382716,0.095238095
0.189189189,0.380952381,0.142857143,0.25,0,0.25,0.2,0.143322476,0.100369004,0.096045198,0.150259067,0.072131148,0.128019324,0.131707317,0.139720559,0.1493803,0.155381944,0.150727651,0.143415906,0.173410405,0.163841808,0.12849162,0.204301075,0.155555556
0.163636364,0.258064516,0.275862069,0.142857143,0.266666667,0.333333333,0.166666667,0.157458564,0.105617978,0.072815534,0.096446701,0.066914498,0.10591133,0.1069869,0.152173913,0.142964072,0.148506151,0.152522936,0.137700535,0.144975288,0.16751269,0.172413793,0.140243902,0.153846154
0.211009174,0.257142857,0.27027027,0.255813953,0.269230769,0.166666667,0.142857143,0.164383562,0.085613416,0.088353414,0.102766798,0.130718954,0.134920635,0.111578947,0.142276423,0.13526971,0.140909091,0.149899396,0.150617284,0.174174174,0.153703704,0.163972286,0.183606557,0.187134503
0.183870968,0.245535714,0.236363636,0.239130435,0.2,0.131147541,0.233766234,0.154471545,0.096952909,0.106032907,0.131078224,0.124542125,0.12967581,0.140208575,0.129347826,0.130403969,0.148259304,0.136448598,0.138313609,0.136443662,0.174002047,0.192083818,0.183844011,0.173160173
0.159846547,0.143700787,0.144542773,0.221757322,0.188679245,0.180232558,0.164772727,0.152027027,0.102925244,0.122513089,0.103321033,0.116514691,0.107115532,0.109116022,0.114621602,0.117455139,0.126325088,0.147702877,0.117527862,0.151898734,0.147686833,0.141330166,0.156310058,0.167250438
0.161048689,0.149122807,0.171653543,0.200364299,0.210031348,0.235494881,0.147798742,0.121758737,0.110772358,0.094679892,0.10139165,0.100762066,0.09125236,0.111425339,0.099435028,0.106320431,0.120952009,0.107155446,0.115646259,0.125412541,0.140517697,0.134228188,0.123785166,0.149425287
0.187556357,0.199538639,0.214574899,0.181355932,0.203473945,0.176848875,0.127705628,0.131655373,0.102317694,0.107600342,0.086501901,0.096423017,0.091805299,0.105141537,0.112334802,0.098851722,0.100560897,0.097103918,0.112818439,0.118305745,0.122279793,0.129013761,0.145783133,0.12773224
0.166156983,0.185286104,0.182492582,0.217948718,0.178191489,0.211538462,0.13976378,0.131034483,0.085747393,0.101785714,0.102112676,0.107438017,0.107072042,0.089186176,0.087202718,0.098442993,0.098111658,0.099796334,0.102057281,0.106289615,0.113537118,0.122132672,0.145304569,0.151050081
