V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,2,1,1,11,7,11,21,19,15,21,13,11,6,6,3,3,1,0
0,0,0,0,0,0,0,3,4,16,23,26,36,25,35,23,29,15,9,5,2,4,0,1
1,1,0,1,0,0,0,4,9,25,29,38,35,42,30,42,33,25,18,13,5,1,0,0
0,1,0,0,0,0,1,2,17,21,21,33,41,61,39,50,34,33,12,7,4,3,2,0
0,0,0,0,0,0,0,0,17,19,14,20,33,30,27,49,25,22,20,6,6,3,4,2
0,2,0,0,0,0,0,0,14,17,6,20,16,18,21,31,34,25,11,2,2,0,1,1
0,0,0,0,0,0,0,1,11,8,18,11,6,25,22,30,26,17,5,3,8,1,2,2
0,1,0,0,0,0,0,0,15,10,8,4,6,14,33,22,20,12,10,6,3,1,1,1
1,1,0,0,0,0,0,1,14,9,25,9,8,9,24,24,25,11,7,6,7,3,0,0
1,1,1,0,0,0,0,2,14,14,12,28,10,12,10,44,6,14,8,5,6,1,1,0
1,1,0,0,0,0,0,1,22,8,18,30,8,5,9,72,25,15,7,8,1,1,2,1
1,0,0,0,1,1,0,22,97,10,25,5,13,11,14,99,35,7,6,3,3,2,1,1
0,1,0,0,0,0,0,23,176,9,14,13,21,12,10,114,40,8,12,3,2,1,1,0
0,1,0,0,0,0,0,15,182,7,8,8,18,8,28,86,49,25,7,4,7,0,0,0
3,0,1,0,0,0,1,23,165,8,16,9,12,16,17,83,53,16,10,6,4,9,4,1
2,2,0,0,0,1,0,10,117,15,15,5,12,29,35,71,48,21,10,10,4,5,1,3
3,3,1,1,1,0,0,11,129,27,15,8,12,21,20,59,63,26,12,14,6,3,11,2
3,1,2,2,0,38,1,11,72,23,13,11,31,20,25,39,46,37,25,21,9,7,11,5
10,2,5,5,0,1,2,8,57,19,21,16,34,18,21,39,42,33,18,15,6,10,12,3
11,7,11,8,3,3,5,12,40,18,8,17,22,23,25,23,42,33,25,11,17,9,8,8
8,6,4,3,3,6,3,3,29,18,22,31,28,38,32,38,37,35,23,14,14,9,15,9
6,3,8,2,3,17,4,9,23,10,22,16,11,23,23,29,37,27,29,13,14,6,15,6
6,3,5,4,4,4,5,15,28,16,12,17,17,24,26,34,42,21,18,9,8,15,7,3
9,0,5,2,3,13,5,13,30,18,27,15,20,19,28,31,39,32,16,12,7,8,6,7
6,4,6,2,5,8,4,6,18,14,15,16,17,26,23,23,17,18,19,9,10,8,8,5
3,3,5,1,4,9,9,20,39,19,15,36,25,30,33,40,40,34,27,10,13,7,10,6
9,4,2,1,5,7,9,11,27,10,16,22,15,32,16,43,29,33,21,13,6,7,9,6
