V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0.0625,0.130434783,0,0,0,0.028571429,0,0.034482759,0,0,0,0,0.75,NA,0
0,0,NA,0,NA,NA,NA,0,0,0.04,0.034482759,0,0,0,0,0.047619048,0.03030303,0,0.055555556,0.153846154,0,0,NA,NA
NA,0,NA,NA,NA,NA,0,0,0,0.095238095,0,0,0.024390244,0.06557377,0.025641026,0.04,0.029411765,0.03030303,0,0,0,0,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0.052631579,0,0,0.03030303,0.033333333,0,0.020408163,0,0.045454545,0,0.166666667,0,0,0.25,0
NA,0,NA,NA,NA,NA,NA,NA,0.071428571,0,0,0.05,0,0,0,0.032258065,0,0,0,0,0,NA,1,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
NA,0,NA,NA,NA,NA,NA,NA,0,0,0.125,0,0,0.071428571,0,0,0.1,0.083333333,0.1,0,0,0,0,0
0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,NA,NA
0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,NA
0,0,NA,NA,NA,NA,NA,0,0,0,0,0.033333333,0.125,0.2,0,0.027777778,0,0.066666667,0,0,0,0,0,0
0,NA,NA,NA,0,0,NA,0.136363636,0.041237113,0,0.04,0,0,0.090909091,0,0.04040404,0,0,0.166666667,0,0,0,0,0
NA,1,NA,NA,NA,NA,NA,0,0.045454545,0,0.142857143,0,0,0,0.1,0.052631579,0.05,0,0.083333333,0,0.5,0,0,NA
NA,0,NA,NA,NA,NA,NA,0,0.027472527,0.142857143,0,0,0.055555556,0.125,0.035714286,0.081395349,0.102040816,0,0,0.25,0,NA,NA,NA
0,NA,0,NA,NA,NA,0,0.043478261,0.036363636,0,0,0,0,0,0,0.120481928,0.056603774,0.0625,0,0,0,0.222222222,0,0
0,0,NA,NA,NA,0,NA,0,0.008547009,0,0.066666667,0,0.083333333,0,0,0.056338028,0.041666667,0,0,0,0.25,0,0,0.333333333
0,0,0,0,0,NA,NA,0,0.015503876,0.074074074,0,0,0,0,0.05,0.033898305,0,0,0,0,0.333333333,0,0,0
0,0,0.5,0,NA,0.052631579,0,0,0.069444444,0.130434783,0,0.090909091,0.032258065,0.05,0,0.076923077,0.02173913,0.054054054,0.04,0.047619048,0,0,0,0
0.1,0,0,0.2,NA,0,0,0,0.087719298,0.105263158,0.047619048,0.125,0,0.055555556,0.095238095,0.025641026,0.047619048,0.03030303,0.055555556,0.066666667,0.166666667,0.1,0,0.333333333
0.272727273,0,0.090909091,0,0,0,0,0.083333333,0.05,0,0,0,0,0.043478261,0.08,0,0.047619048,0,0,0,0,0,0,0.125
0,0.166666667,0,0.333333333,0,0,0,0.333333333,0.034482759,0,0.045454545,0.032258065,0,0.026315789,0.03125,0.105263158,0,0.057142857,0,0,0.142857143,0,0,0.333333333
0.333333333,0,0,0,0,0.176470588,0,0.111111111,0,0,0.045454545,0,0,0,0.043478261,0.068965517,0,0.111111111,0,0,0.071428571,0.166666667,0.133333333,0
0,0,0,0,0,0,0.2,0,0,0.1875,0,0,0,0,0,0.029411765,0.023809524,0,0.111111111,0,0,0,0.142857143,0
0.222222222,NA,0.2,0.5,0,0.230769231,0,0.076923077,0,0,0.037037037,0,0,0.052631579,0,0.032258065,0.076923077,0.03125,0.0625,0,0,0,0,0.285714286
0.166666667,0.25,0,0,0.4,0.25,0,0,0,0.142857143,0,0.25,0.058823529,0.076923077,0,0.217391304,0.058823529,0,0.105263158,0,0,0.125,0.125,0
0.333333333,0,0.2,0,0,0.111111111,0,0,0,0,0,0.138888889,0,0.033333333,0,0.05,0.025,0,0.037037037,0,0,0,0,0.166666667
0.333333333,0.5,0,1,0,0.142857143,0,0.090909091,0.037037037,0,0,0,0,0.03125,0,0.093023256,0,0.060606061,0.047619048,0.076923077,0,0,0.111111111,0.166666667
0,0.2,0.5,0,0,0.2,0,0,0,0.105263158,0.052631579,0.041666667,0.043478261,0.033333333,0,0,0.108108108,0,0,0.058823529,0,0.111111111,0,0.166666667
0,0,0,0.5,0,0,0.083333333,0.166666667,0,0.125,0.111111111,0.083333333,0.047619048,0.032258065,0.064516129,0.076923077,0,0.03125,0.052631579,0.071428571,0,0.25,0,0.333333333
0,0,0.2,0,0,0,0,0.071428571,0.043478261,0,0,0.043478261,0,0.043478261,0,0.038461538,0.035714286,0,0.038461538,0,0.125,0,0.222222222,0
0,0.142857143,0,0,0,0,0,0,0.166666667,0,0,0.068965517,0,0,0.018867925,0.026315789,0.029411765,0.016129032,0.03030303,0.043478261,0.05,0,0,0
0,0,0,0,0,0.333333333,0,0,0,0.083333333,0.052631579,0,0,0.058823529,0,0.037037037,0.041666667,0.038461538,0,0.083333333,0,0,0,0
0.181818182,0,0,0,0.25,NA,0,0.1,0.0625,0,0.045454545,0.095238095,0,0.04,0.038461538,0,0.029411765,0,0,0,0,0.142857143,0,0
0.5,0,0,0,0,0,0.125,0.090909091,0,0,0.047619048,0.038461538,0.038461538,0,0.064516129,0.03030303,0.045454545,0.027777778,0.08,0,0,0.333333333,0,0.285714286
0,0,0,0,0.25,0,0,0.25,0.043478261,0,0.03125,0.047619048,0,0.111111111,0,0.057142857,0.034482759,0.166666667,0,0,0.3,0.142857143,0,0
0,0,0.333333333,0,0,0,0.357142857,0,0.04,0,0.068965517,0,0.055555556,0.026315789,0,0.024390244,0.051282051,0.068181818,0.071428571,0,0,0.333333333,0,0
0,0,0,0,0,0.666666667,0.166666667,0,0.071428571,0.034482759,0.133333333,0,0.071428571,0.035714286,0.041666667,0,0.037037037,0.043478261,0,0.125,0.142857143,0.166666667,0,0
0,0,0,NA,0,0,0.25,0.076923077,0,0,0.130434783,0,0.066666667,0,0.0625,0.028571429,0.086956522,0.107142857,0,0.055555556,0.142857143,0.285714286,0,0
0,1,NA,0.666666667,0.5,0,0.333333333,0.181818182,0,0,0,0.115384615,0,0.043478261,0.04,0.04,0.068965517,0.074074074,0,0,0,0,0.1,0.1
0.25,0,0,0,0,0,0,0.071428571,0,0.1,0.066666667,0.086956522,0,0,0.033333333,0.066666667,0.034482759,0.125,0.130434783,0.066666667,0,0.125,0,0.5
0,0,0,NA,0,0,0,0.0625,0.04,0.081081081,0.025,0,0.018518519,0,0.016129032,0.024390244,0,0.019607843,0.03125,0,0.058823529,0.090909091,0,0
0.2,0.333333333,0,0,0,0,0.333333333,0,0.05,0.142857143,0,0.035714286,0.04,0.058823529,0.068965517,0.041666667,0,0,0,0.090909091,0.125,0.111111111,0,0
0.25,0,0,0.333333333,0,0,0.2,0,0.043478261,0,0.052631579,0.043478261,0.035714286,0.037037037,0.034482759,0,0,0.058823529,0,0,0,0,0,0
0,0.333333333,0.333333333,NA,0,0,0,0.2,0.068965517,0.105263158,0.041666667,0.038461538,0.03125,0.1,0.041666667,0.083333333,0.071428571,0,0.08,0.142857143,0,0.125,0,0
0,0,0.5,0,0,0.166666667,0,0,0,0.071428571,0,0.15625,0,0.057142857,0,0.069767442,0.1,0.037037037,0.115384615,0,0,0,0,0
0,0,NA,NA,0,0.166666667,0,0.05,0,0.032258065,0,0.035714286,0.0625,0,0.027777778,0,0.025641026,0,0,0.052631579,0.052631579,0.083333333,0.153846154,0
0,0,0.5,NA,0,0,0.125,0,0.041666667,0.086956522,0.1,0.034482759,0.033333333,0.085714286,0.088235294,0.051282051,0.065217391,0.034482759,0,0.071428571,0.125,0,0,0
0,NA,0,NA,NA,1,0.2,0.090909091,0.037037037,0.117647059,0.161290323,0.137931034,0.03125,0.044444444,0.088235294,0.078947368,0.03125,0.038461538,0,0,0.071428571,0.05,0,0.142857143
0,0,0,0,0,0.333333333,0,0,0,0.041666667,0.071428571,0.034482759,0.096774194,0.025641026,0,0.12195122,0.03030303,0.125,0,0,0,0.066666667,0.333333333,0
0,0,0.166666667,NA,0,0.333333333,0,0.076923077,0,0.04,0.095238095,0.097560976,0.060606061,0.037037037,0.027027027,0,0,0.03125,0,0.2,0,0,0,0
0.142857143,0,0,0,0,0,0.2,0.074074074,0,0.023809524,0.020833333,0.0625,0,0.058823529,0.055555556,0.030769231,0.090909091,0.015873016,0.027027027,0.064516129,0.125,0,0,0
0.5,NA,NA,1,0,0.333333333,0.285714286,0.071428571,0.05,0.052631579,0.068965517,0.115384615,0.045454545,0.090909091,0,0.1,0.025641026,0.023255814,0.05,0,0.133333333,0,0,0.2
0,0,0,NA,0,0.5,0.166666667,0,0.153846154,0.09375,0.058823529,0,0.024390244,0.088235294,0.041666667,0,0.12,0.032258065,0.1,0.142857143,0.25,0,0,0.166666667
