V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
7,3,5,2,2,2,1,9,23,30,39,51,56,76,72,74,63,68,44,38,24,13,5,14
10,4,5,5,5,0,6,28,98,102,137,145,188,177,173,170,207,172,124,93,44,36,26,12
9,12,3,4,3,5,0,34,110,94,130,177,163,158,188,206,199,166,135,91,61,38,20,12
5,5,2,0,2,1,5,39,143,120,137,171,201,167,175,261,227,208,138,79,62,38,29,19
15,3,6,0,3,2,2,25,169,136,125,158,182,165,174,262,268,239,177,118,84,32,20,16
11,3,3,1,3,1,4,21,255,130,117,146,211,175,156,313,337,254,206,144,88,53,28,17
8,3,3,1,2,6,10,27,257,126,148,170,180,172,171,357,311,258,238,137,92,51,27,22
16,5,4,4,7,2,3,39,290,111,133,167,189,192,196,345,346,279,227,159,101,46,30,17
17,4,1,4,2,0,6,40,290,116,125,184,193,192,173,366,350,313,236,150,98,44,37,24
11,6,2,3,3,2,3,38,317,116,130,170,193,181,214,331,364,333,248,183,98,54,34,21
15,4,3,4,4,5,10,48,338,141,126,158,202,230,198,376,379,364,267,145,127,78,43,30
20,4,7,2,3,2,7,59,287,88,129,162,200,192,187,336,361,295,254,173,126,77,40,23
16,9,4,5,3,2,14,46,295,84,113,164,172,201,171,331,315,342,252,193,139,87,57,33
25,17,6,2,6,2,10,45,262,84,99,172,163,154,171,274,311,302,262,182,125,59,60,38
40,27,23,18,11,1,9,50,288,85,94,136,190,196,184,286,366,290,237,232,154,142,91,61
78,52,27,34,22,16,15,47,281,96,109,140,167,199,177,288,388,370,298,250,234,203,173,113
221,147,87,70,53,45,29,78,276,147,144,189,231,256,304,355,446,466,404,413,389,395,335,302
629,429,285,191,129,108,113,242,719,426,435,521,688,724,690,863,1012,1037,1036,1065,1086,1146,1086,870
849,660,501,426,257,235,231,562,1139,691,640,759,1029,1152,1140,1260,1573,1716,1642,1437,1403,1467,1557,1266
864,674,567,451,327,237,342,670,1073,739,695,845,1085,1134,1198,1329,1633,1921,1625,1439,1379,1308,1270,1194
