V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0.333333333,0,0.5,0,0,1,0,0.043478261,0.166666667,0.025641026,0.039215686,0.071428571,0.052631579,0.041666667,0,0.047619048,0.058823529,0.068181818,0.052631579,0.041666667,0.076923077,0.2,0.214285714
0.2,0,0.2,0,0.2,NA,0.166666667,0.214285714,0.020408163,0.058823529,0.03649635,0.089655172,0.058510638,0.056497175,0.046242775,0.029411765,0.038647343,0.040697674,0.040322581,0.064516129,0.136363636,0.083333333,0.192307692,0.083333333
0.111111111,0.166666667,0.333333333,0,0,0.4,NA,0.147058824,0.036363636,0.095744681,0.061538462,0.050847458,0.055214724,0.037974684,0.058510638,0.038834951,0.045226131,0.042168675,0.066666667,0.021978022,0.081967213,0.078947368,0,0.166666667
0,0,0,NA,0,0,0,0.128205128,0.020979021,0.033333333,0.058394161,0.029239766,0.049751244,0.047904192,0.051428571,0.034482759,0.057268722,0.043269231,0.036231884,0.101265823,0.064516129,0.078947368,0.068965517,0.105263158
0,0.666666667,0,NA,0,0,0,0,0.023668639,0.058823529,0.024,0.088607595,0.032967033,0.036363636,0.045977011,0.057251908,0.037313433,0.029288703,0.04519774,0.06779661,0.083333333,0.03125,0.05,0.1875
0.181818182,0,0.333333333,0,0.333333333,0,0,0.047619048,0.019607843,0.015384615,0.025641026,0.075342466,0.018957346,0.028571429,0.038461538,0.015974441,0.041543027,0.039370079,0.038834951,0.048611111,0.079545455,0.056603774,0,0
0,0,0.333333333,0,0,0.166666667,0.2,0.037037037,0.015564202,0.087301587,0.027027027,0.035294118,0.066666667,0.052325581,0.035087719,0.056022409,0.048231511,0.034883721,0.021008403,0,0.054347826,0.117647059,0.037037037,0.090909091
0.125,0,0,0,0.142857143,0.5,0.666666667,0.051282051,0.031034483,0.09009009,0.067669173,0.05988024,0.042328042,0.041666667,0.030612245,0.037681159,0.046242775,0.035842294,0.039647577,0.031446541,0.02970297,0.043478261,0.166666667,0.058823529
0.117647059,0,0,1,0,NA,0.166666667,0.025,0.010344828,0.034482759,0.024,0.016304348,0.041450777,0.046875,0.046242775,0.024590164,0.031428571,0.028753994,0.038135593,0.02,0.051020408,0.022727273,0.108108108,0.083333333
0,0,0,0.333333333,0,0,0,0,0.025236593,0,0.023076923,0.052941176,0.025906736,0.066298343,0.028037383,0.03021148,0.021978022,0.033033033,0.032258065,0.032786885,0.040816327,0.074074074,0.058823529,0.142857143
0.066666667,0,0.333333333,0.25,0,0,0.3,0.020833333,0.023668639,0.04964539,0.015873016,0.037974684,0.024752475,0.034782609,0.055555556,0.034574468,0.036939314,0.032967033,0.04494382,0.068965517,0.062992126,0.051282051,0.069767442,0.1
0.15,0,0,0,0,0,0.142857143,0.033898305,0.034843206,0.056818182,0.054263566,0.055555556,0.01,0.036458333,0.016042781,0.026785714,0.049861496,0.013559322,0.035433071,0.057803468,0.03968254,0.051948052,0.075,0.086956522
0.0625,0,0.25,0.2,0,0,0.142857143,0.02173913,0.027118644,0.071428571,0.053097345,0.048780488,0.040697674,0.039800995,0.035087719,0.039274924,0.038095238,0.026315789,0.031746032,0.03626943,0.071942446,0.103448276,0.035087719,0.03030303
0.2,0.411764706,0.166666667,0.5,0,0,0.1,0.022222222,0.019083969,0.035714286,0.060606061,0.029069767,0.036809816,0.064935065,0.046783626,0.018248175,0.019292605,0.039735099,0.038167939,0.043956044,0.072,0.06779661,0.116666667,0.105263158
0.15,0.222222222,0.260869565,0.055555556,0.181818182,0,0,0.02,0.024305556,0.035294118,0.031914894,0.022058824,0.073684211,0.071428571,0.054347826,0.059440559,0.032786885,0.04137931,0.046413502,0.043103448,0.019480519,0.056338028,0.087912088,0.098360656
0.205128205,0.269230769,0.296296296,0.235294118,0.181818182,0.1875,0.2,0.106382979,0.049822064,0.03125,0.055045872,0.057142857,0.05988024,0.070351759,0.073446328,0.045138889,0.038659794,0.067567568,0.036912752,0.08,0.072649573,0.123152709,0.144508671,0.115044248
0.158371041,0.19047619,0.218390805,0.214285714,0.132075472,0.111111111,0.206896552,0.076923077,0.054347826,0.06122449,0.0625,0.074074074,0.056277056,0.046875,0.052631579,0.045070423,0.058295964,0.053648069,0.059405941,0.072639225,0.131105398,0.116455696,0.125373134,0.17218543
0.128775835,0.137529138,0.119298246,0.183246073,0.15503876,0.166666667,0.159292035,0.128099174,0.0472879,0.089201878,0.059770115,0.07293666,0.052325581,0.055248619,0.062318841,0.06373117,0.072134387,0.077145612,0.067567568,0.099530516,0.099447514,0.102966841,0.133517495,0.145977011
0.138987044,0.122727273,0.145708583,0.176056338,0.190661479,0.2,0.138528139,0.078291815,0.065847234,0.069464544,0.0671875,0.057971014,0.063168124,0.065104167,0.06754386,0.069047619,0.071201526,0.050699301,0.068818514,0.089770355,0.100498931,0.106339468,0.098265896,0.125592417
0.165509259,0.169139466,0.185185185,0.152993348,0.183486239,0.139240506,0.096491228,0.080597015,0.061509786,0.067658999,0.056115108,0.062721893,0.04516129,0.069664903,0.060100167,0.053423627,0.058175138,0.057782405,0.062153846,0.077136901,0.092820885,0.093272171,0.118897638,0.111390285
0.134163209,0.160649819,0.151696607,0.2,0.144876325,0.165254237,0.119444444,0.083445491,0.059911894,0.069156293,0.050490884,0.068649886,0.065524194,0.040517241,0.055837563,0.050544323,0.052734375,0.054364872,0.06024808,0.070262598,0.076687117,0.093567251,0.117545376,0.114806867
0.146341463,0.138257576,0.186956522,0.158808933,0.176895307,0.172794118,0.167115903,0.0725,0.066071429,0.054361568,0.06022409,0.0591133,0.057915058,0.051639344,0.040366972,0.046178344,0.048312376,0.056322474,0.054668305,0.08254717,0.074812968,0.097560976,0.101421801,0.126811594
0.140032949,0.146341463,0.2,0.165,0.193548387,0.216,0.121212121,0.068043742,0.061074919,0.071059432,0.053019146,0.060295791,0.055937193,0.057729941,0.055606199,0.053377815,0.059023066,0.050531915,0.060664112,0.06400665,0.086238532,0.073993471,0.090375587,0.125162973
0.138939671,0.188470067,0.21448468,0.206798867,0.216326531,0.176691729,0.075829384,0.068287037,0.04868316,0.06048906,0.039938556,0.053435115,0.057264051,0.050458716,0.057438795,0.063993174,0.043085476,0.054209919,0.065376918,0.083887043,0.086823289,0.091448931,0.098503741,0.119266055
