V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,2,0,1,2,1,0,1,2,2,0,1,0,0,0,0
0,0,0,0,0,0,0,1,2,2,4,0,2,2,0,4,3,3,1,0,0,0,0,0
0,0,0,0,0,0,0,1,4,2,1,3,1,3,9,10,6,4,5,4,3,0,0,0
0,0,0,0,0,1,0,2,11,5,3,4,9,8,16,10,16,23,15,5,4,0,0,0
0,0,0,0,0,0,0,0,14,3,6,14,10,12,18,37,47,35,33,20,10,4,0,0
1,0,0,0,0,0,0,1,24,7,12,23,16,22,18,67,73,77,54,47,18,5,0,0
0,0,0,0,0,0,0,1,23,5,11,16,20,35,30,65,78,108,98,61,25,3,1,1
0,0,0,0,0,0,1,1,34,14,14,25,32,35,33,82,110,129,117,52,25,5,0,0
0,0,0,0,0,0,0,2,60,9,22,41,41,43,45,104,109,158,134,89,26,8,0,0
0,0,0,0,0,0,1,8,108,18,23,32,63,55,51,180,162,217,140,79,49,17,2,1
1,0,0,0,0,0,1,23,187,17,14,40,63,71,89,217,202,185,157,92,39,13,2,0
2,1,0,1,0,1,1,47,248,20,33,43,61,75,87,291,207,210,146,122,69,30,8,2
1,0,0,1,0,0,18,77,268,33,34,72,71,70,111,255,239,236,181,120,94,46,10,1
3,1,1,0,0,1,24,125,295,40,37,47,84,78,118,297,241,207,202,138,81,58,23,6
6,3,1,2,0,2,33,118,252,55,59,68,79,85,118,290,266,247,188,158,113,92,43,14
12,7,1,1,2,2,19,76,216,71,80,68,122,109,133,187,224,243,190,147,109,85,53,16
13,7,5,3,2,2,10,70,175,82,75,90,111,136,121,189,227,215,151,132,82,82,56,19
18,7,11,4,2,8,21,65,148,80,79,74,91,107,111,158,165,201,171,106,69,71,52,39
15,12,16,9,4,13,28,75,146,79,77,97,112,127,120,126,167,185,152,108,88,81,46,36
21,12,10,16,13,14,38,94,160,98,100,116,107,143,135,160,209,233,165,143,86,64,62,41
20,14,8,13,10,17,37,84,145,116,99,90,125,134,152,151,172,238,166,125,91,73,56,44
22,21,11,9,9,19,51,124,198,124,115,109,117,124,130,138,180,216,200,154,103,65,61,43
24,19,14,12,6,34,54,151,225,127,85,115,116,135,129,132,191,251,212,161,108,71,67,45
34,14,12,9,4,19,49,176,257,137,88,103,103,129,100,119,189,244,234,158,113,77,49,36
37,16,11,11,6,36,81,192,299,184,119,115,107,110,144,153,212,311,293,179,103,85,72,62
28,8,10,10,4,21,62,187,295,160,104,108,104,129,108,116,171,298,262,184,94,64,71,38
25,15,10,9,6,15,72,172,312,159,102,77,121,93,124,126,167,295,264,137,114,70,51,50
25,16,12,8,4,26,77,188,336,165,88,85,111,123,117,123,185,282,265,178,104,53,58,42
16,9,10,7,7,19,65,208,285,192,93,96,90,120,117,124,213,296,257,185,92,66,71,51
24,12,9,6,3,28,100,248,378,196,122,128,128,126,151,168,210,317,322,199,96,76,66,55
22,11,10,9,6,23,77,238,272,162,95,84,92,111,105,100,201,257,208,152,93,64,41,21
14,14,6,3,5,35,75,214,285,159,100,86,100,119,110,129,185,276,231,136,101,48,57,41
22,7,4,8,6,11,73,202,286,154,96,88,91,96,107,108,159,280,228,159,79,54,51,32
16,8,1,3,2,31,77,193,257,162,82,78,102,80,99,110,158,244,251,133,76,58,46,28
13,3,4,5,3,28,92,215,285,167,116,96,105,108,110,118,184,279,236,148,87,57,35,28
16,6,8,1,5,33,80,185,236,116,90,84,112,104,102,102,190,268,234,143,81,50,35,18
8,6,8,2,2,25,65,210,246,134,98,95,95,96,99,119,147,244,193,129,70,49,40,31
18,6,5,3,6,20,80,192,260,156,103,83,94,103,95,120,156,254,219,108,71,45,44,22
20,7,6,1,9,25,60,217,252,128,100,94,86,100,93,133,169,224,207,105,86,43,39,29
12,8,2,4,7,25,88,256,303,154,122,117,108,134,119,132,177,283,198,154,73,51,34,21
