V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0.5,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.5,0.5,NA,0,0,0,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.222222222,0.2,0.166666667,0,0.2,0,0.666666667,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,0,0.090909091,0.2,0.333333333,0.25,0,0,0.1875,0,0.125,0,0.133333333,0.2,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.166666667,0.071428571,0.1,0.083333333,0.222222222,0.081081081,0.127659574,0.142857143,0.181818182,0.15,0.1,0.25,NA,NA
0,NA,NA,NA,NA,NA,NA,0,0.083333333,0,0,0.130434783,0.0625,0.181818182,0.111111111,0.119402985,0.205479452,0.090909091,0.148148148,0.170212766,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0.130434783,0.2,0.181818182,0.125,0,0.142857143,0.1,0.092307692,0.128205128,0.083333333,0.183673469,0.114754098,0,0.333333333,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0.071428571,0.214285714,0.24,0.0625,0.085714286,0.151515152,0.073170732,0.109090909,0.131782946,0.136752137,0.115384615,0.2,0.2,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0.066666667,0.111111111,0.136363636,0,0.146341463,0.046511628,0.088888889,0.125,0.137614679,0.139240506,0.141791045,0.112359551,0.115384615,0,NA,NA
NA,NA,NA,NA,NA,NA,0,0,0.037037037,0.055555556,0.086956522,0.0625,0.19047619,0.145454545,0.137254902,0.133333333,0.117283951,0.161290323,0.185714286,0.17721519,0.102040816,0.176470588,0.5,0
1,NA,NA,NA,NA,NA,0,0.086956522,0.069518717,0,0.142857143,0.225,0.095238095,0.169014085,0.157303371,0.133640553,0.153465347,0.162162162,0.152866242,0.22826087,0.307692308,0.153846154,0,NA
0,0,NA,1,NA,0,0,0.085106383,0.108870968,0.15,0.060606061,0.139534884,0.163934426,0.16,0.16091954,0.099656357,0.188405797,0.19047619,0.198630137,0.139344262,0.15942029,0.133333333,0.125,0.5
0,NA,NA,0,NA,NA,0.166666667,0.168831169,0.093283582,0.151515152,0.235294118,0.097222222,0.183098592,0.157142857,0.144144144,0.192156863,0.179916318,0.152542373,0.154696133,0.166666667,0.244680851,0.086956522,0.2,0
0.333333333,1,1,NA,NA,0,0.25,0.136,0.13220339,0.15,0.135135135,0.063829787,0.095238095,0.115384615,0.186440678,0.164983165,0.190871369,0.154589372,0.173267327,0.144927536,0.185185185,0.137931034,0.217391304,0
0,0,0,0.5,NA,0,0.121212121,0.127118644,0.103174603,0.090909091,0.118644068,0.176470588,0.139240506,0.117647059,0.203389831,0.124137931,0.165413534,0.149797571,0.223404255,0.151898734,0.159292035,0.086956522,0.209302326,0.285714286
0.25,0.285714286,0,0,1,0,0.157894737,0.118421053,0.138888889,0.112676056,0.0875,0.132352941,0.147540984,0.174311927,0.15037594,0.122994652,0.160714286,0.135802469,0.142105263,0.149659864,0.110091743,0.211764706,0.150943396,0.0625
0.153846154,0.428571429,0.2,0.333333333,0,0.5,0.2,0.114285714,0.091428571,0.109756098,0.08,0.111111111,0.162162162,0.117647059,0.115702479,0.137566138,0.13215859,0.144186047,0.112582781,0.204545455,0.195121951,0.231707317,0.178571429,0
0.111111111,0.285714286,0.363636364,0,0.5,0.375,0.047619048,0.169230769,0.074324324,0.125,0.075949367,0.175675676,0.087912088,0.168224299,0.135135135,0.126582278,0.133333333,0.144278607,0.14619883,0.103773585,0.144927536,0.126760563,0.269230769,0.153846154
0.133333333,0.166666667,0.25,0.111111111,0.25,0.153846154,0.178571429,0.12,0.123287671,0.113924051,0.103896104,0.082474227,0.133928571,0.173228346,0.191666667,0.182539683,0.107784431,0.108108108,0.203947368,0.157407407,0.113636364,0.160493827,0.195652174,0.194444444
0.285714286,0.166666667,0.1,0.1875,0.307692308,0.214285714,0.131578947,0.117021277,0.10625,0.112244898,0.2,0.163793103,0.177570093,0.153846154,0.111111111,0.09375,0.124401914,0.111587983,0.175757576,0.132867133,0.104651163,0.15625,0.032258065,0.219512195
0.3,0.285714286,0.25,0.230769231,0.3,0.176470588,0.135135135,0.154761905,0.15862069,0.129310345,0.111111111,0.133333333,0.096,0.126865672,0.125,0.139072848,0.162790698,0.142857143,0.192771084,0.144,0.153846154,0.164383562,0.178571429,0.204545455
0.272727273,0.333333333,0.090909091,0.333333333,0.111111111,0.157894737,0.098039216,0.137096774,0.131313131,0.169354839,0.165217391,0.110091743,0.111111111,0.10483871,0.130769231,0.086956522,0.111111111,0.106481481,0.13,0.149350649,0.13592233,0.092307692,0.229508197,0.046511628
0.166666667,0.315789474,0.214285714,0.333333333,0.5,0.176470588,0.166666667,0.119205298,0.111111111,0.149606299,0.164705882,0.12173913,0.181034483,0.118518519,0.147286822,0.106060606,0.120418848,0.119521912,0.141509434,0.118012422,0.148148148,0.225352113,0.164179104,0.155555556
0.117647059,0.285714286,0.333333333,0.333333333,0.25,0.263157895,0.081632653,0.142045455,0.093385214,0.087591241,0.204545455,0.126213592,0.213592233,0.124031008,0.2,0.109243697,0.111111111,0.12295082,0.102564103,0.126582278,0.150442478,0.181818182,0.163265306,0.138888889
0.27027027,0.1875,0.181818182,0.181818182,0.333333333,0.277777778,0.148148148,0.130208333,0.133779264,0.108695652,0.193277311,0.147826087,0.093457944,0.136363636,0.097222222,0.150326797,0.103773585,0.147909968,0.126279863,0.117318436,0.13592233,0.094117647,0.166666667,0.064516129
0.285714286,0.125,0.2,0.3,0,0,0.177419355,0.155080214,0.098305085,0.1125,0.173076923,0.101851852,0.134615385,0.093023256,0.12962963,0.181034483,0.099415205,0.140939597,0.080152672,0.108695652,0.180851064,0.15625,0.14084507,0.157894737
0.2,0.2,0.1,0.333333333,0.333333333,0.133333333,0.125,0.186046512,0.115384615,0.100628931,0.18627451,0.168831169,0.173553719,0.129032258,0.129032258,0.134920635,0.119760479,0.142372881,0.128787879,0.175182482,0.184210526,0.2,0.215686275,0.24
0.08,0.1875,0.083333333,0.5,0,0.230769231,0.168831169,0.132978723,0.095238095,0.090909091,0.147727273,0.129411765,0.117117117,0.12195122,0.145299145,0.178861789,0.12972973,0.134751773,0.150943396,0.151685393,0.163461538,0.226415094,0.155172414,0.214285714
0.1875,0.222222222,0.3,0.142857143,0.285714286,0.105263158,0.184615385,0.110576923,0.098245614,0.130208333,0.096774194,0.197916667,0.111111111,0.141666667,0.188034188,0.14516129,0.154929577,0.152027027,0.128404669,0.124324324,0.152173913,0.136363636,0.112676056,0.078431373
0,0.083333333,0.111111111,0.166666667,0,0.107142857,0.12,0.129032258,0.119047619,0.132653061,0.147540984,0.15625,0.125,0.142857143,0.145695364,0.125,0.161904762,0.141955836,0.124223602,0.135678392,0.125,0.118421053,0.166666667,0.163636364
0.272727273,0.272727273,0.2,0.444444444,0.666666667,0.304347826,0.155844156,0.163865546,0.143382353,0.12345679,0.168421053,0.119047619,0.173913043,0.144144144,0.104761905,0.15,0.119402985,0.155642023,0.125,0.138157895,0.258064516,0.203125,0.219512195,0.142857143
0.285714286,0.071428571,0.166666667,0,0.4,0.171428571,0.12,0.130841121,0.150877193,0.176100629,0.18,0.174418605,0.13,0.134453782,0.118181818,0.170542636,0.135135135,0.123188406,0.138528139,0.161764706,0.188118812,0.229166667,0.140350877,0.243902439
