V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,0,2,1,0,2,1,2,0,0,1,3,1,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0,0,3,0,0,3,3,2,0,2,0,1,0,0,0
0,0,0,0,0,0,0,1,0,2,1,2,3,0,0,3,4,1,2,1,2,0,0,0
0,1,0,0,0,0,0,0,1,1,0,1,3,2,2,2,3,4,3,1,0,0,0,1
0,0,0,0,0,0,1,1,2,1,0,1,4,3,3,3,3,3,4,0,0,0,0,0
0,0,0,0,0,2,0,0,2,0,5,1,3,2,4,11,4,3,4,2,4,1,0,0
0,0,0,1,0,1,0,1,2,1,3,3,5,6,2,5,7,9,4,5,5,4,2,1
1,0,1,3,1,0,0,2,3,0,4,4,9,5,9,15,13,8,15,9,7,9,1,4
4,5,2,2,1,1,0,4,3,3,1,12,6,15,17,17,20,26,19,22,17,11,9,7
36,32,10,6,7,11,16,110,482,188,140,158,245,302,280,461,533,577,482,381,321,253,213,83
68,31,18,22,13,14,40,194,588,296,203,251,298,360,349,492,649,717,533,429,375,315,280,140
70,45,34,19,14,22,43,187,417,199,151,201,257,316,321,410,531,593,459,375,270,249,205,120
82,50,38,22,19,30,48,201,366,195,162,190,252,274,302,337,391,504,438,312,318,222,205,95
75,47,28,24,16,28,68,221,262,155,155,184,241,260,245,307,387,495,397,311,264,191,186,123
81,31,27,9,19,27,69,177,255,162,122,154,191,219,257,302,345,440,358,284,238,176,161,122
49,30,24,23,11,33,60,215,241,129,148,169,199,201,232,244,341,399,337,274,206,180,146,88
35,25,29,17,13,24,73,189,214,132,117,157,202,193,212,272,323,364,329,237,196,170,126,94
46,24,13,16,10,46,68,193,186,134,106,157,184,161,190,226,291,377,296,251,202,140,108,72
47,25,15,14,15,33,59,187,222,132,102,154,167,193,221,232,275,334,295,234,179,133,93,79
39,25,13,11,16,26,70,138,211,126,100,106,159,173,182,196,250,303,225,203,191,127,114,70
29,20,10,11,12,14,67,163,226,124,100,112,145,156,155,166,227,278,250,171,145,112,75,61
38,18,15,12,8,28,69,178,223,141,118,119,140,137,164,189,237,253,215,186,127,110,66,52
33,11,15,8,4,22,59,170,178,134,99,104,151,141,166,156,204,272,226,157,101,102,65,50
28,17,9,11,12,29,76,197,219,127,91,121,166,152,172,169,233,294,218,146,117,99,79,40
21,12,12,9,10,23,68,159,207,112,105,96,125,131,136,142,197,250,197,138,97,87,70,34
20,12,6,3,10,36,69,130,184,107,70,105,108,113,130,150,185,226,213,124,75,67,49,37
20,20,10,9,9,28,71,132,204,111,100,93,108,116,105,129,167,212,160,130,84,57,56,27
25,13,8,8,6,20,44,123,173,112,83,94,107,122,109,163,186,218,168,115,79,53,44,38
23,8,6,12,9,19,73,148,184,128,83,106,106,121,132,132,180,226,172,103,66,47,34,28
11,10,6,5,9,15,54,123,168,83,80,102,116,109,118,105,142,190,181,109,64,57,42,27
8,8,8,6,3,20,61,146,187,107,81,77,98,103,126,128,162,206,144,96,73,61,34,21
16,13,5,14,7,25,60,137,171,103,91,94,115,110,105,149,172,174,163,100,76,45,31,21
15,8,2,10,9,26,73,139,161,116,77,117,129,115,148,134,151,223,149,116,64,51,41,23
16,7,4,4,5,23,62,162,182,129,101,122,149,150,143,164,161,209,180,118,64,58,26,33
11,8,6,5,12,27,61,145,166,118,105,120,125,157,143,144,182,220,182,124,78,48,35,18
9,8,1,9,11,23,75,155,159,95,110,125,136,139,142,166,168,242,177,92,77,49,38,24
14,6,4,17,6,30,66,157,163,104,103,140,146,152,165,177,198,225,180,105,74,35,38,27
16,5,7,8,17,29,68,144,194,100,109,122,146,128,150,184,197,231,173,90,70,45,36,15
8,7,8,5,14,31,65,158,154,114,132,146,172,200,183,166,215,219,145,93,53,34,40,22
18,9,6,10,8,30,73,159,174,122,107,143,146,152,167,142,209,221,149,99,62,46,32,24
6,13,5,6,9,23,84,154,141,112,109,124,165,148,164,170,185,215,185,97,55,46,37,11
12,9,4,14,14,28,65,161,148,121,96,145,143,159,161,169,199,208,162,105,57,43,32,15
14,6,6,6,10,26,66,134,132,105,102,139,150,159,147,165,195,186,134,74,49,30,21,12
13,4,12,6,8,20,73,130,125,110,107,138,151,179,145,171,210,199,129,93,59,33,27,18
9,7,4,9,7,21,46,130,129,87,98,96,133,127,127,171,177,185,112,84,26,23,23,17
10,2,6,9,8,32,53,113,128,82,94,117,135,125,124,136,183,190,98,61,43,31,18,7
9,4,8,4,11,16,42,79,126,72,96,108,114,104,132,118,145,152,102,69,33,35,16,13
11,6,4,4,7,29,37,82,91,70,83,90,105,121,113,124,133,152,82,43,26,21,13,13
7,6,5,1,10,20,52,88,91,68,65,89,115,120,88,109,116,126,78,44,47,23,20,8
