V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
1,1,0,0,0,0,0,2,7,5,6,9,13,10,9,14,6,11,8,2,3,1,1,1
1,0,0,0,0,0,0,2,16,17,15,34,33,26,42,41,30,37,23,19,12,4,0,0
0,1,0,1,0,0,0,8,51,50,43,80,101,84,99,165,131,92,80,50,24,17,3,1
2,1,0,1,0,0,1,5,86,81,50,98,153,120,141,315,191,186,152,85,35,11,6,5
2,0,0,0,0,0,0,9,185,66,33,87,121,108,102,419,259,203,170,107,44,16,3,1
1,1,0,0,0,0,2,13,238,51,31,63,77,83,84,469,262,250,187,135,61,12,10,3
2,1,1,0,0,1,1,5,219,41,35,47,83,95,107,394,293,269,256,140,58,13,4,0
2,0,0,0,0,0,1,9,222,46,32,50,86,99,102,410,327,316,251,164,51,22,8,5
0,0,0,1,0,1,1,10,252,57,33,51,74,116,113,403,342,322,259,171,61,33,2,3
2,0,0,0,0,0,0,15,306,64,30,56,103,94,113,490,391,328,242,158,72,24,4,1
3,0,1,1,0,0,1,29,418,59,34,64,82,93,123,616,424,393,284,162,60,26,6,2
1,1,0,2,1,0,1,143,846,61,31,78,95,160,196,1419,706,441,279,209,86,27,8,3
3,1,0,2,1,1,4,220,843,50,47,60,144,204,217,1322,772,429,348,200,95,39,15,7
10,3,1,0,1,1,6,165,639,49,45,46,149,169,183,909,534,386,298,205,118,65,20,4
7,2,2,0,2,3,2,161,581,71,44,68,107,154,167,648,452,345,281,216,142,92,41,19
17,7,6,5,3,2,0,111,475,75,63,73,107,141,132,521,360,316,288,214,165,114,73,34
32,35,10,9,9,3,12,85,328,108,86,110,183,163,173,331,379,281,252,166,138,109,100,54
62,38,27,21,12,7,8,63,278,111,72,98,153,188,159,229,309,299,215,152,116,112,116,100
106,81,78,87,41,22,12,49,180,98,95,104,145,145,143,142,220,256,186,168,128,115,119,132
126,117,106,93,45,21,21,53,110,111,83,107,124,137,141,152,212,237,198,156,110,106,116,125
138,108,121,96,54,21,19,58,101,92,97,99,106,145,129,160,203,228,166,152,136,126,136,121
104,131,98,107,58,26,22,73,101,85,98,80,124,152,124,158,164,226,192,148,120,107,113,113
92,80,99,68,42,28,19,57,113,96,86,101,109,145,111,128,169,207,173,146,95,86,91,117
108,67,72,66,27,23,24,39,122,93,89,96,104,130,143,144,160,220,190,130,110,70,109,102
104,83,71,68,39,21,26,72,122,94,84,77,113,112,99,126,136,172,175,134,95,97,82,102
109,80,68,62,34,24,32,54,145,107,64,100,132,138,123,149,153,192,164,113,129,101,114,87
90,71,57,41,28,13,18,71,109,86,69,74,90,99,119,107,137,157,154,112,98,75,95,83
81,66,52,45,25,18,17,64,111,83,72,72,75,97,114,128,133,159,182,104,89,88,86,78
69,52,44,37,13,13,16,69,116,124,60,91,114,103,107,142,129,151,128,112,64,76,69,88
63,56,32,27,17,11,18,59,98,97,80,99,98,100,92,107,127,157,158,104,104,70,76,61
62,60,40,33,17,27,26,59,126,108,79,104,111,123,134,138,134,193,161,131,82,75,87,69
47,51,46,30,19,11,28,52,100,65,71,72,79,96,88,108,118,129,120,99,76,75,73,52
52,42,34,25,6,12,21,37,99,83,62,78,98,91,101,115,108,128,120,104,54,58,68,43
41,34,24,20,11,8,16,40,99,84,58,76,100,68,96,112,89,143,100,95,82,65,54,60
38,38,26,11,10,9,23,43,79,93,72,78,75,86,84,112,98,112,103,82,87,39,56,38
36,32,15,20,12,12,20,44,112,91,68,81,111,90,88,137,127,147,102,90,66,35,61,52
31,28,16,14,8,6,18,41,94,94,62,59,93,83,85,100,89,139,111,72,76,45,44,46
