V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
1,0,NA,NA,NA,NA,NA,0.5,0.142857143,0.2,0.166666667,0,0,0.1,0.222222222,0,0,0.272727273,0.125,0.5,0,0,0,0
1,NA,NA,NA,NA,NA,NA,0,0.125,0.235294118,0.066666667,0.117647059,0.090909091,0.153846154,0.214285714,0.195121951,0.1,0.297297297,0.217391304,0.105263158,0.083333333,0.25,NA,NA
NA,0,NA,0,NA,NA,NA,0.125,0.235294118,0.24,0.186046512,0.225,0.217821782,0.261904762,0.242424242,0.2,0.251908397,0.27173913,0.275,0.32,0.333333333,0.352941176,0.333333333,0
0.5,0,NA,0,NA,NA,0,0,0.151162791,0.209876543,0.28,0.204081633,0.215686275,0.183333333,0.19858156,0.231746032,0.277486911,0.284946237,0.217105263,0.223529412,0.228571429,0.454545455,0.333333333,0.4
1,NA,NA,NA,NA,NA,NA,0.333333333,0.151351351,0.090909091,0.242424242,0.137931034,0.214876033,0.212962963,0.245098039,0.212410501,0.258687259,0.221674877,0.223529412,0.214953271,0.227272727,0.3125,0.333333333,0
0,0,NA,NA,NA,NA,0.5,0.153846154,0.142857143,0.078431373,0.193548387,0.26984127,0.12987013,0.144578313,0.30952381,0.213219616,0.202290076,0.256,0.304812834,0.251851852,0.229508197,0.083333333,0.2,0.333333333
0.5,0,1,NA,NA,0,1,0.2,0.150684932,0.170731707,0.342857143,0.191489362,0.156626506,0.263157895,0.205607477,0.203045685,0.259385666,0.282527881,0.2734375,0.3,0.275862069,0.076923077,0,NA
0.5,NA,NA,NA,NA,NA,0,0.222222222,0.162162162,0.152173913,0.15625,0.12,0.209302326,0.242424242,0.235294118,0.226829268,0.214067278,0.208860759,0.250996016,0.25,0.333333333,0.045454545,0.125,0.4
NA,NA,NA,0,NA,0,0,0.1,0.146825397,0.157894737,0.272727273,0.274509804,0.256756757,0.189655172,0.203539823,0.210918114,0.245614035,0.220496894,0.166023166,0.216374269,0.196721311,0.333333333,1,0
0,NA,NA,NA,NA,NA,NA,0.2,0.153594771,0.125,0.166666667,0.303571429,0.116504854,0.244680851,0.203539823,0.183673469,0.237851662,0.228658537,0.29338843,0.253164557,0.125,0.125,0.5,0
1,NA,0,0,NA,NA,0,0.24137931,0.150717703,0.152542373,0.235294118,0.28125,0.292682927,0.258064516,0.243902439,0.159090909,0.238207547,0.223918575,0.253521127,0.259259259,0.25,0.192307692,0.333333333,0
0,0,NA,0,0,NA,1,0.230769231,0.184397163,0.098360656,0.258064516,0.153846154,0.2,0.2375,0.193877551,0.206483439,0.21388102,0.253968254,0.225806452,0.229665072,0.337209302,0.185185185,0.25,0
0,0,NA,0.5,0,0,0,0.2,0.151838671,0.2,0.234042553,0.116666667,0.215277778,0.225490196,0.248847926,0.207261725,0.235751295,0.228438228,0.232758621,0.24,0.157894737,0.307692308,0.066666667,0.285714286
0.2,0.333333333,0,NA,0,1,0.5,0.181818182,0.158059468,0.163265306,0.288888889,0.173913043,0.194630872,0.189349112,0.245901639,0.184818482,0.220973783,0.24611399,0.22147651,0.27804878,0.186440678,0.2,0.45,0.5
0,0.5,0.5,NA,0.5,0.333333333,0,0.236024845,0.151462995,0.084507042,0.227272727,0.161764706,0.158878505,0.12987013,0.251497006,0.169753086,0.227876106,0.246376812,0.177935943,0.25462963,0.316901408,0.336956522,0.219512195,0.263157895
0.294117647,0.285714286,0.333333333,0.4,0.666666667,0,NA,0.225225225,0.115789474,0.16,0.19047619,0.191780822,0.23364486,0.177304965,0.189393939,0.186180422,0.233333333,0.234177215,0.204861111,0.271028037,0.206060606,0.280701754,0.260273973,0.294117647
0.21875,0.371428571,0.1,0.333333333,0.333333333,0,0.166666667,0.235294118,0.112804878,0.138888889,0.209302326,0.145454545,0.153005464,0.18404908,0.161849711,0.15407855,0.182058047,0.192170819,0.186507937,0.186746988,0.246376812,0.23853211,0.26,0.166666667
0.306451613,0.157894737,0.185185185,0.333333333,0.25,0.714285714,0,0.158730159,0.136690647,0.153153153,0.152777778,0.153061224,0.150326797,0.14893617,0.113207547,0.135371179,0.184466019,0.234113712,0.16744186,0.210526316,0.267241379,0.232142857,0.25,0.26
0.245283019,0.24691358,0.217948718,0.287356322,0.219512195,0.409090909,0.333333333,0.183673469,0.188888889,0.142857143,0.231578947,0.105769231,0.193103448,0.137931034,0.195804196,0.126760563,0.181818182,0.18359375,0.209677419,0.142857143,0.28125,0.147826087,0.25210084,0.25
0.206349206,0.290598291,0.301886792,0.268817204,0.266666667,0.380952381,0.19047619,0.20754717,0.136363636,0.198198198,0.13253012,0.177570093,0.201612903,0.160583942,0.170212766,0.177631579,0.16509434,0.164556962,0.181818182,0.237179487,0.236363636,0.273584906,0.181034483,0.192
0.239130435,0.203703704,0.272727273,0.291666667,0.259259259,0.571428571,0.210526316,0.189655172,0.118811881,0.184782609,0.164948454,0.141414141,0.122641509,0.144827586,0.100775194,0.18125,0.167487685,0.157894737,0.120481928,0.184210526,0.183823529,0.174603175,0.272058824,0.272727273
0.269230769,0.335877863,0.285714286,0.205607477,0.327586207,0.384615385,0.181818182,0.219178082,0.128712871,0.152941176,0.091836735,0.175,0.112903226,0.131578947,0.120967742,0.164556962,0.158536585,0.185840708,0.234375,0.189189189,0.233333333,0.214953271,0.221238938,0.247787611
0.347826087,0.225,0.272727273,0.220588235,0.285714286,0.428571429,0.210526316,0.105263158,0.097345133,0.166666667,0.11627907,0.168316832,0.128440367,0.213793103,0.117117117,0.171875,0.195266272,0.144927536,0.161849711,0.184931507,0.221052632,0.220930233,0.230769231,0.205128205
0.222222222,0.268656716,0.25,0.272727273,0.333333333,0.391304348,0.166666667,0.256410256,0.221311475,0.096774194,0.179775281,0.072916667,0.221153846,0.184615385,0.13986014,0.145833333,0.15625,0.163636364,0.157894737,0.184615385,0.254545455,0.2,0.321100917,0.205882353
0.182692308,0.240963855,0.281690141,0.338235294,0.307692308,0.285714286,0.346153846,0.236111111,0.139344262,0.117021277,0.154761905,0.12987013,0.115044248,0.089285714,0.171717172,0.142857143,0.117647059,0.13372093,0.194285714,0.111940299,0.221052632,0.288659794,0.243902439,0.333333333
0.293577982,0.3125,0.323529412,0.225806452,0.294117647,0.25,0.15625,0.259259259,0.110344828,0.093457944,0.171875,0.17,0.106060606,0.086956522,0.089430894,0.140939597,0.130718954,0.213541667,0.152439024,0.194690265,0.23255814,0.267326733,0.228070175,0.229885057
0.222222222,0.225352113,0.333333333,0.292682927,0.178571429,0.384615385,0.222222222,0.112676056,0.137614679,0.151162791,0.173913043,0.162162162,0.188888889,0.151515152,0.18487395,0.14953271,0.182481752,0.229299363,0.155844156,0.169642857,0.204081633,0.253333333,0.273684211,0.228915663
0.320987654,0.318181818,0.346153846,0.422222222,0.16,0.444444444,0.117647059,0.203125,0.135135135,0.168674699,0.097222222,0.180555556,0.133333333,0.134020619,0.175438596,0.125,0.105263158,0.157232704,0.203296703,0.096153846,0.179775281,0.295454545,0.209302326,0.282051282
0.333333333,0.269230769,0.25,0.216216216,0.384615385,0.307692308,0.25,0.188405797,0.086206897,0.193548387,0.1,0.175824176,0.140350877,0.116504854,0.140186916,0.154929577,0.178294574,0.17218543,0.2109375,0.196428571,0.25,0.171052632,0.260869565,0.261363636
