V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,3,2,1,1,2,0,1,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,2,1,2,3,0,0,1,0,0
0,1,0,0,0,0,0,1,1,3,0,1,0,4,3,1,4,1,0,0,2,0,1,0
0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,3,2,0,2,1,0,0,0,0
0,0,0,0,0,0,0,3,2,0,1,0,3,0,1,1,3,0,6,0,0,3,0,0
0,0,0,0,0,0,0,0,3,3,0,2,2,1,4,0,3,3,2,2,0,1,0,0
0,0,0,0,0,1,0,2,4,1,1,1,4,4,1,5,4,2,3,3,1,0,2,0
0,0,0,0,1,0,0,0,3,1,1,4,2,3,2,3,3,4,4,0,1,0,1,1
0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,5,4,4,4,2,0,1,0,0
0,0,0,0,0,0,0,1,1,0,2,0,3,3,2,1,4,4,4,1,1,0,0,0
0,0,0,0,0,0,0,0,5,0,3,2,5,1,3,3,2,3,1,3,0,0,0,0
1,0,0,0,0,0,0,1,2,2,0,3,3,1,2,0,3,8,4,0,1,1,0,0
1,0,0,0,0,0,1,3,2,3,0,0,3,3,3,1,6,3,6,1,2,4,1,0
1,1,0,0,1,0,0,0,3,0,2,4,1,2,5,2,4,2,2,2,4,7,3,0
1,1,1,0,0,0,1,2,5,4,5,4,2,1,2,4,6,7,5,8,3,3,2,0
4,0,0,4,2,0,1,7,7,3,3,5,4,6,6,9,6,7,6,10,11,6,4,4
5,2,2,0,2,2,3,9,8,11,9,12,13,13,8,18,15,13,9,10,9,14,10,5
13,3,4,7,3,5,8,15,23,15,11,21,23,19,25,16,25,23,18,16,11,19,8,4
10,6,2,5,5,5,15,19,31,22,24,22,19,20,19,22,36,43,22,18,12,11,9,6
11,5,7,10,5,5,19,35,36,30,37,20,31,38,33,28,52,36,21,17,21,19,15,9
16,8,3,10,7,4,25,44,35,30,43,30,40,41,42,51,52,40,31,25,15,15,17,10
10,13,9,9,12,9,20,48,53,36,32,35,31,46,38,49,72,41,32,28,24,14,17,7
15,9,11,4,11,13,33,61,57,37,42,51,52,43,33,45,69,56,20,27,23,13,14,13
7,11,10,8,4,17,31,63,57,55,35,35,52,33,52,47,73,42,29,15,13,12,18,8
8,8,6,11,8,25,29,71,71,53,32,46,61,47,40,56,84,45,29,27,21,13,19,10
10,11,10,3,8,8,35,75,53,61,34,38,52,42,52,53,71,52,33,22,20,9,13,13
11,10,2,8,9,14,31,69,57,41,41,49,48,50,51,48,63,58,33,23,19,12,15,7
6,9,8,6,4,18,23,60,59,38,39,51,57,51,39,61,45,45,36,18,15,15,10,6
12,9,13,10,6,13,26,47,59,52,41,51,57,39,38,49,50,49,33,16,18,20,13,11
9,9,8,9,8,11,31,53,62,37,51,53,46,46,48,53,60,60,38,24,11,12,7,12
9,2,7,9,7,12,17,49,54,41,39,48,48,41,42,43,42,48,26,30,16,16,19,6
15,3,4,1,4,13,30,57,57,41,33,39,45,55,54,39,59,41,25,23,19,1,10,8
10,7,2,8,6,12,31,42,55,42,32,29,44,36,42,45,38,48,26,16,13,18,16,15
10,7,7,3,6,17,28,40,51,33,37,43,39,53,40,45,51,47,28,8,9,2,10,4
11,9,6,5,13,16,20,37,37,54,37,42,40,36,40,34,52,46,20,22,16,10,7,14
7,4,9,5,1,9,26,52,42,42,29,38,45,40,44,47,48,40,30,24,10,5,7,3
10,4,2,5,8,4,20,37,50,26,32,49,38,24,36,43,46,43,24,17,8,7,6,6
8,6,3,8,5,9,24,38,44,38,31,38,38,34,29,55,46,34,36,18,16,9,12,5
