V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0.333333333,NA,0,0,0.5,0.333333333,NA,NA,0,NA,NA
NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,1,0.25,0,NA,NA,0.5,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,0.5,NA,0,0,NA,0,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,0,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0.5,NA,0,NA,NA
NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0.25,0,0,0,0,0,0,0.333333333,0,NA,0,NA
NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.25,0,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0.25,0,0,0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0.5,0,0,0,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.333333333,0,0,0,NA,0,0.125,0,NA,0,0,NA,NA
0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0.333333333,0,0,0,0,0,0,NA
1,0,NA,NA,0,NA,NA,NA,0,NA,0,0.25,0,0,0,0,0.25,0,0,0,0,0.285714286,0,NA
